dtype,d,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
bfloat16,128,256,pytorch,0.13112647831439972,0.5077687948942184,0.6388952732086182
bfloat16,128,256,triton_flash,0.020781781524419785,0.7840208746492863,0.804802656173706
bfloat16,128,512,pytorch,0.12178614735603333,0.605666309595108,0.7274524569511414
bfloat16,128,512,triton_flash,0.032612621784210205,0.7706170082092285,0.8032296299934387
bfloat16,128,1024,pytorch,0.11929361522197723,0.6057620793581009,0.7250556945800781
bfloat16,128,1024,triton_flash,0.054898958653211594,0.7685160227119923,0.8234149813652039
bfloat16,128,2048,pytorch,0.136956125497818,0.6126578152179718,0.7496139407157898
bfloat16,128,2048,triton_flash,0.10154028981924057,0.7202378883957863,0.8217781782150269
bfloat16,128,4096,pytorch,0.4057762622833252,0.472406268119812,0.8781825304031372
bfloat16,128,4096,triton_flash,0.19298826158046722,1.169649377465248,1.3626376390457153
bfloat16,128,8192,pytorch,1.3657245635986328,1.679750680923462,3.0454752445220947
bfloat16,128,8192,triton_flash,0.740023136138916,4.2113847732543945,4.9514079093933105
bfloat16,128,16384,pytorch,5.030723571777344,6.44927978515625,11.480003356933594
bfloat16,128,16384,triton_flash,2.1923351287841797,16.3962345123291,18.58856964111328
bfloat16,128,32768,pytorch,19.894840240478516,26.423755645751953,46.31859588623047
bfloat16,128,32768,triton_flash,7.266067028045654,62.56561326980591,69.83168029785156
bfloat16,128,65536,pytorch,88.90726470947266,,
bfloat16,128,65536,triton_flash,29.05224609375,,
